Sentiment,Score,Id_Tweet,Negative,Neutral,Positive,Text_Tweet,Date_Tweet
Negative,0.609,1585726779607502849,0.60935396,0.19239767,0.19824848,"🌍🌡 Selon un rapport de l’#ONU, le monde se dirige vers un avenir caractérisé par une chaleur insupportable, des catastrophes météorologiques de plus en plus fréquentes et l'effondrement des écosystèmes : 

https://t.co/Gxio033gX3",2022-10-27 20:15:00
Negative,0.918,1585722702517751810,0.9178581,0.06543602,0.01670582,"🇮🇹 FLASH | Une attaque au couteau vient d’avoir lieu près de #Milan. Le bilan serait pour l’instant d’un mort et quatre blessés parmi lesquels le footballeur de l’AC Monza Pablo #Mari. 

(AFP) #Drame",2022-10-27 19:58:48
Positive,0.878,1585719401390739457,0.039217312,0.08257704,0.87820566,"🇫🇷🦟 FLASH I Grâce à la douceur exceptionnelle des températures, l’espérance de vie des #moustiques s’est allongée, ils résistent et continuent de piquer à l’approche du mois de novembre.

(BFMTV) #Météo",2022-10-27 19:45:41
Negative,0.842,1585714681628467202,0.84236,0.12611231,0.031527665,"🇲🇽 DRAME | Quelques minutes après son mariage, un homme fut assassiné à la sortie de l’église.

👉 Selon les premières informations de l’enquête, un cartel mexicain l’aurait confondu avec un autre homme qui se mariait au même moment mais dans une ville voisine.

(NYPost) #Mexique https://t.co/MvsvB74p1w",2022-10-27 19:26:55
Negative,0.927,1585685646093475840,0.9270175,0.05656769,0.016414667,"🇺🇸 DRAME | Une enseignante est décédée après s’être interposée entre ses élèves et un homme armé dans un lycée de #SaintLouis. 

👉 La #fusillade s’est déroulée alors que le lycée disposait de détecteurs de métaux aux entrées et de 7 agents de sécurité.

(STLToday) #Missouri",2022-10-27 17:31:33
Negative,0.925,1585671025496317954,0.92493224,0.059129536,0.015938304,"🇫🇷🕊️ En l’espace de quelques jours :
 
- #Viol d’une fille de 6 ans par un ado de 16 ans.
- #Lola, 12 ans, tuée et retrouvée dans une malle après viols et tortures.
- #Justine, 20 ans, mère d’un enfant de 2 ans, violée, tuée, à la sortie d’une discothèque. 

(CF) #Insécurité",2022-10-27 16:33:27
Neutral,0.616,1585655828517994497,0.047944456,0.615838,0.3362175,"🇫🇷 FLASH | Le patron de #Spotify a annoncé qu'une augmentation du prix de ses abonnements va avoir lieu d'ici 2023.

(BFMTV) #DanielEk https://t.co/eRdNB5gj8y",2022-10-27 15:33:04
Negative,0.912,1585651282626371586,0.9117759,0.06709186,0.021132348,"🇮🇹 FLASH | Un #suprémaciste blanc italien a été arrêté ce jeudi. Selon les autorités, l’homme projetait d’organiser une attaque #terroriste au nom de « la défense de la race blanche. »

👉 De nombreuses armes ont été retrouvées à son domicile. 

(BFMTV) #Italie",2022-10-27 15:15:00
Negative,0.776,1585647615521087488,0.77614444,0.15319347,0.070662044,"🇨🇳🐷 FLASH | La plus grande porcherie du monde vient d’être mise en service près de #Wuhan en #Chine avec une capacité d’accueil de 650 000 porcs.

(France Info) #Élevage https://t.co/lZmk2FKB1H",2022-10-27 15:00:26
Positive,0.742,1585638982851133442,0.017011156,0.24074054,0.74224836,"🇺🇸 FLASH | Elon #Musk annonce avoir acheté #Twitter pour permettre d’avoir des débats sur « une place publique numérique [...] saine ».

(@elonmusk) #ElonMuskTwitter https://t.co/CMGT5U1PsM",2022-10-27 14:26:07
Negative,0.904,1585634457662676997,0.90395206,0.07403279,0.022015058,"🇫🇷 👩‍⚖️ FLASH | Le rappeur #Bosh a été condamné à une amende de 1 000€ par le #tribunal de #Versailles pour avoir conduit sans permis de conduire.

(OuestFrance) #BienOuQuoi 🪙",2022-10-27 14:08:09
Negative,0.5,1585625313962237952,0.5003043,0.35392645,0.14576924,"🚨🇳🇱 FLASH I Aux #PaysBas, un militant écologiste a collé son crâne avec de la glue contre le tableau « La jeune fille à la perle » de #Vermer. 

(Témoins) #Ecologie 

https://t.co/lo90oxfDZr",2022-10-27 13:31:48
Negative,0.937,1585619621440372739,0.937288,0.044985514,0.017726455,"🇫🇷🎶 FLASH | Le rappeur #PLK a été condamné à un an de #prison sous surveillance électronique après avoir mis un coup de poing à un policier municipale lors d’une bagarre à #LaGrandeMotte en Juillet dernier.

(Midi Libre) #Justice",2022-10-27 13:09:11
Negative,0.843,1585605141444673538,0.8426996,0.13337062,0.02392973,"🇫🇷 FLASH | Le corps de Justine Vayrac, enlevée puis tuée en #Corrèze, a été découvert par les enquêteurs ce jeudi. Il se trouvait à l'endroit indiqué par le mis en cause.

(BFMTV) #JustineVayrac",2022-10-27 12:11:39
Neutral,0.816,1585591488641175555,0.07324108,0.8160212,0.11073767,"🇫🇷🚲 SPORT | Les parcours et dates du #TourDeFrance2023 masculin et féminin viennent d’être dévoilés.

• DATE MASCULIN : 1er juillet - 23 juillet 2023.
• DATE FEMININ : 23 juillet - 30 juillet 2023.

(TourdeFrance) #TDF2023 https://t.co/Hod9iL69tF",2022-10-27 11:17:24
Negative,0.848,1585568441653776384,0.84815204,0.116416484,0.035431426,"🇫🇷 FLASH | Le jeune homme placée en garde à vue dans le cadre de la disparition de Justine #Vayrac ce week-end à Brives-la-Gaillarde a avoué avoir #tué la jeune femme.

👉 Il a également indiqué le lieu où il aurait enterré le corps de la jeune femme.

(BFMTV) #meutre https://t.co/cJ6WfFUNFm",2022-10-27 09:45:49
Negative,0.846,1585563077155717120,0.8464941,0.12500918,0.028496748,"🇫🇷 FLASH | D’après le collectif « Les morts de la rue », les personnes #SDF meurent, en moyenne, à l’âge de 48 ans. 
Soit, toujours selon le collectif, une espérance de #vie raccourcit de, plus ou moins, 30 ans par rapport au reste de la population. 

(LeParisien) #France",2022-10-27 09:24:30
Positive,0.681,1585553135149490177,0.08826703,0.23105057,0.6806824,"🇫🇷 FLASH | Un #français a gagné une deuxième fois un #million d’euros a l’EuroMillions en deux ans. 

👉 Le chanceux a déclaré qu’il continuerait à jouer car il croit au dicton « jamais deux sans trois. »

(Le Parisien) #EuroMillions https://t.co/To4ygJx4SN",2022-10-27 08:45:00
Positive,0.791,1585547242919829504,0.028327765,0.18064837,0.7910239,"🇫🇷👟 FLASH | Les Stan Smith d'#Adidas sont les sneakers les plus recherchées en #France pour la troisième année consécutive. Néanmoins, #Nike reste la marque la plus recherchée. 

(Idealo/BFMTV) #StanSmith https://t.co/6NTNDMagrR",2022-10-27 08:21:35
Negative,0.729,1585529050902265856,0.72923607,0.17940916,0.0913548,"🇺🇸 FLASH | Après la fin de son contrat avec #Adidas, Kanye #West s'est rendu au siège de la marque #Skechers afin de leur proposer une collaboration. Cependant, il s'est vu refuser l'accès en oubliant que les créateurs de la marque sont de confession juive.

(CNN) #KanyeWest https://t.co/5Ogfh96Fsg",2022-10-27 07:09:18
Neutral,0.657,1585388513830338572,0.08765977,0.65703833,0.25530198,"🇫🇷 FLASH | Elisabeth #Borne utilise à nouveau le 49.3 ""sur l'ensemble du projet de loi de financement de la Sécurité sociale"".

(LCP) #Article49
https://t.co/e56tkoJjWN",2022-10-26 21:50:51
Negative,0.878,1585370508618498049,0.8783949,0.09732798,0.024277287,"🇫🇷 FLASH | #Quotidien révèle dans un reportage qu'un étudiant sur deux avoue ne pas pouvoir manger à sa faim du fait de l'#inflation.

(Quotidien) #France
https://t.co/HKS6FpA0MX",2022-10-26 20:39:18
Negative,0.849,1585360594034692105,0.8491287,0.09763037,0.053241003,"🇫🇷 FLASH | Emmanuel #Macron déclare que « quand on regarde la délinquance à #Paris, on peut voir que la moitié des faits de délinquance viennent des étrangers en situation irrégulière ou en attente de titre ».

(Direct France 2) #France",2022-10-26 19:59:54
Positive,0.471,1585355651567554561,0.15819083,0.37123156,0.47057772,"🇫🇷 FLASH | Emmanuel #Macron déclare vouloir une alliance entre les députés les #Républicains et le parti gouvernemental au sein de l'Assemblée.

(Direct France 2) #France
https://t.co/Mcxiw7rQUX",2022-10-26 19:40:16
Negative,0.948,1585353106828689442,0.9478598,0.03488246,0.017257558,"🇫🇷 FLASH | « Ce qui me met en colère, c’est le cynisme et le désordre » déclare Emmanuel #Macron qui s'insurge contre les différentes motions de censure déposées par la #Nupes et le #RN à l'Assemblée nationale. 

(Direct France 2) #France 
https://t.co/maErXq15Di",2022-10-26 19:30:09
Neutral,0.773,1585348682324508691,0.05642698,0.7732776,0.17029542,"🇫🇷 FLASH | Emmanuel #Macron confirme que l'âge légal de départ à la #retraite passera à l'« horizon 2025 à 63 ans, en 2028 à 64 ans et en 2031 à 65 ans ».

(Direct France 2) #France 
https://t.co/IVOwOE7cxR",2022-10-26 19:12:34
Negative,0.768,1585345266298781713,0.76786935,0.11626859,0.1158622,"🇫🇷 FLASH | En déclenchant le 49.3, le #gouvernement ""a évité plusieurs milliards de dépenses à perte peu utiles"" affirme Emmanuel #Macron.

(Direct France 2) #Article49",2022-10-26 18:59:00
Negative,0.911,1585320884088324107,0.91076475,0.059926443,0.029308848,"🇫🇷 FLASH | Le jeune de 16 ans, agresseur présumé d’une fillette de 6 ans, a annoncé porter plainte contre le père de la victime pour l’avoir tabassé.

👉 Le suspect, un mineur sans papier orginaire de #Guinée, nie les faits qui lui sont reprochés.

(LeParisien) #FaitsDivers",2022-10-26 17:22:07
Neutral,0.462,1585312106303442946,0.17146319,0.46182263,0.36671424,"🇫🇷 INSOLITE | La #Constitution française de la Véme République possède 89 articles. 
Sauf si l’on croit un ancien juge d’instruction qui, sur le plateau de #TPMP, affirme que « la liberté d’expression est garantie par l’article 100 ».

(Déclaration) #DLC
 https://t.co/RieYNrFpoY",2022-10-26 16:47:14
Positive,0.539,1585308181311488003,0.014796069,0.4458751,0.5393287,"🎤🎶 FLASH | Après 6 ans, #Rihanna fait son grand retour avec un nouveau morceau pour la bande originale du prochain #Marvel, Black Panther : Wakanda Forever. 

👉 La chanson sera disponible ce vendredi.

(@rihanna) #Musique
https://t.co/NdKFEeUgkK",2022-10-26 16:31:38
Positive,0.699,1585298221655625735,0.01860585,0.2821096,0.69928455,"RT @CerfiaFoot: 🔥 Leo Messi cette saison avec le Paris Saint-Germain… 

🏟 16 matchs
⚽️ 11 buts
🎯 12 assists

LE RETOUR 🐐

📸 (@RYANGRlM) htt…",2022-10-26 15:52:04
Negative,0.588,1585282100474904576,0.5884632,0.30102834,0.11050857,"🇮🇩🐍 FLASH | Une femme s'est fait entièrement manger par un python en #Indonésie. 

👉 La femme a été retrouvée dans l'estomac du #serpent qui mesurait au moins 5 mètres de long. 

(BFMTV) #Drame https://t.co/4frFSfpHvK",2022-10-26 14:48:00
Negative,0.946,1585277571570212867,0.94612503,0.03626287,0.017611979,"🇪🇸 FLASH | Un adolescent #espagnol de 15 ans vient d’être #condamné à six ans de prison pour avoir #assassiné ses parents et son frère en février dernier. Il avait été emporté par un excès de rage après avoir été puni pour des mauvaises notes à l’école. 

(BFMTV) #Justice",2022-10-26 14:30:00
